 -0.614604044866D+01 -0.713197619939D+00      0.195828      0.003048  14  13   6   5
 -0.567374801921D+01 -0.689407915551D+00      0.241001      0.004828  14  13   8   7
 -0.518205106872D+01 -0.664426589613D+00      0.287450      0.007794  14  13  10   9
 -0.453550249876D+01 -0.635377844735D+00      0.336465      0.014657  14  13  12  11
 -0.468413538557D+01 -0.652670808008D+00      0.293656      0.012747  14  13  14  13
 -0.874023487293D+01 -0.800970791886D+00      0.024339      0.000238  14  13   0   1
 -0.746558682015D+01 -0.829324686646D+00      0.032283      0.000865  14  13   2   3
 -0.698517172611D+01 -0.859671520277D+00      0.092860      0.001421  14  13   4   5
 -0.669353668785D+01 -0.892221018588D+00      0.157184      0.001934  14  13   6   7
 -0.648746194571D+01 -0.927187548088D+00      0.224799      0.002420  14  13   8   9
 -0.633006899172D+01 -0.964873880401D+00      0.295091      0.002888  14  13  10  11
 -0.620512123646D+01 -0.100594978818D+01      0.367526      0.003342  14  13  12  13
 -0.612167425900D+01 -0.105863252833D+01      0.445487      0.003733  14  13  14  15
 -0.821524132116D+01 -0.773288120525D+00      0.078393      0.000397  15  14   1   0
 -0.714377085731D+01 -0.746970192692D+00      0.128394      0.001144  15  14   3   2
 -0.654367056300D+01 -0.721678692734D+00      0.175960      0.002057  15  14   5   4
 -0.607304605606D+01 -0.696889828727D+00      0.222266      0.003252  15  14   7   6
 -0.563749211835D+01 -0.671817070493D+00      0.269043      0.004962  15  14   9   8
 -0.517017213201D+01 -0.645102506264D+00      0.318680      0.007809  15  14  11  10
 -0.454209986452D+01 -0.613587646432D+00      0.373548      0.014399  15  14  13  12
 -0.469335024206D+01 -0.632428787433D+00      0.326209      0.012500  15  14  15  14
 -0.798916171476D+01 -0.815480423348D+00      0.002640      0.000509  15  14   1   2
 -0.728549282606D+01 -0.845796031992D+00      0.061031      0.001045  15  14   3   4
 -0.691469266427D+01 -0.878083417452D+00      0.122753      0.001539  15  14   5   6
 -0.666658475601D+01 -0.912494564265D+00      0.187342      0.002008  15  14   7   8
 -0.648180835898D+01 -0.949186585200D+00      0.254106      0.002461  15  14   9  10
 -0.633560673351D+01 -0.988401439185D+00      0.322203      0.002907  15  14  11  12
 -0.621626284748D+01 -0.103073121769D+01      0.390824      0.003347  15  14  13  14
 -0.613248144772D+01 -0.108392615271D+01      0.461607      0.003740  15  14  15  16
 -0.768020702795D+01 -0.758464959759D+00      0.104574      0.000673  16  15   2   1
