 21 4741.508780 1.020E-26 8.925E-02.06150.063 2551.01090.68-.007145       2 1 1 13       0 1 1 01                    P 69e     4445521221 1 1 1 5   137.0  139.0.14180.735 -0.70448464D+00  0.19956219D-05
 21 4743.420520 8.370E-27 9.556E-02.06130.062 2608.55570.67-.007177       2 1 1 13       0 1 1 01                    P 70f     4445521221 1 1 1 5   139.0  141.0.14140.732 -0.70452294D+00  0.15304044D-05
 21 4743.791680 1.601E-26 8.600E-02.06200.063 2444.32380.69-.007080       2 1 1 13       0 1 1 01                    P 67e     3345521120 1 1 1 5   133.0  135.0.14250.741 -0.70440453D+00  0.32554599D-05
 21 4745.565740 1.383E-26 9.608E-02.06180.063 2500.15250.68-.007113       2 1 1 13       0 1 1 01                    P 68f     3345521120 1 1 1 5   135.0  137.0.14210.738 -0.70444519D+00  0.25185204D-05
 21 4746.050370 2.549E-26 8.540E-02.06260.064 2340.73210.70-.007014       2 1 1 13       0 1 1 01                    P 65e     3345521120 1 1 1 5   129.0  131.0.14310.747 -0.70431937D+00  0.52267372D-05
 21 4747.690090 2.214E-26 9.509E-02.06230.064 2394.84820.69-.007047       2 1 1 13       0 1 1 01                    P 66f     3345521120 1 1 1 5   131.0  133.0.14280.744 -0.70436260D+00  0.40791775D-05
 21 4748.285420 3.992E-26 8.477E-02.06310.065 2240.23760.71-.006948       2 1 1 13       0 1 1 01                    P 63e     4445521120 1 1 1 5   125.0  127.0.14360.752 -0.70422867D+00  0.82585866D-05
 21 4749.793004 3.488E-26 9.411E-02.06280.065 2292.64520.70-.006981       2 1 1 13       0 1 1 01                    P 64f     4445521120 1 1 1 5   127.0  129.0.14340.749 -0.70427472D+00  0.65021941D-05
 21 4750.497020 6.157E-26 8.421E-02.06360.066 2142.84200.72-.006880       2 1 1 13       0 1 1 01                    P 61e     4445521120 1 1 1 5   121.0  123.0.14410.757 -0.70413186D+00  0.12841271D-04
 21 4751.874899 5.412E-26 9.322E-02.06330.066 2193.54510.71-.006914       2 1 1 13       0 1 1 01                    P 62f     4445521120 1 1 1 5   123.0  125.0.14390.755 -0.70418106D+00  0.10199510D-04
 21 4752.685400 9.340E-26 8.361E-02.06400.067 2048.54700.73-.006812       2 1 1 13       0 1 1 01                    P 59e     4445521120 1 1 1 5   117.0  119.0.14450.762 -0.70402833D+00  0.19647416D-04
